Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,80500.0,81300.0,80100.0,80600.0,76005.7734375,14058401
2021-06-02,80400.0,81400.0,80300.0,80800.0,76194.375,16414644
2021-06-03,81300.0,83000.0,81100.0,82800.0,78080.359375,29546007
2021-06-04,82700.0,82700.0,81500.0,82200.0,77514.5625,18112259
2021-06-07,82700.0,82800.0,81600.0,81900.0,77231.671875,16496197
2021-06-08,82300.0,82600.0,81800.0,81900.0,77231.671875,12781226
2021-06-09,81500.0,82000.0,81100.0,81100.0,76477.265625,14908823
2021-06-10,81300.0,81400.0,80900.0,81000.0,76382.96875,17586995
2021-06-11,81200.0,81700.0,80700.0,81000.0,76382.96875,14087962
2021-06-14,80800.0,80900.0,80500.0,80500.0,75911.4609375,10550078
2021-06-15,80900.0,81200.0,80600.0,80900.0,76288.671875,10075685
2021-06-16,81500.0,81900.0,81100.0,81800.0,77137.3671875,14999855
2021-06-17,81100.0,81300.0,80700.0,80900.0,76288.671875,14007385
2021-06-18,81100.0,81100.0,80500.0,80500.0,75911.4609375,14916721
2021-06-21,79700.0,80000.0,79600.0,79900.0,75345.6640625,16063340
2021-06-22,80200.0,80300.0,79900.0,80000.0,75439.96875,11773365
2021-06-23,80500.0,80600.0,79900.0,80100.0,75534.265625,13856548
2021-06-24,80400.0,81400.0,80100.0,81200.0,76571.5625,18771080
2021-06-25,81500.0,81900.0,81200.0,81600.0,76948.7734375,13481405
2021-06-28,81700.0,82000.0,81600.0,81900.0,77231.671875,11578529
2021-06-29,81900.0,82100.0,80800.0,81000.0,76721.140625,15744317
2021-06-30,81100.0,81400.0,80700.0,80700.0,76436.984375,13288643
2021-07-01,80500.0,80600.0,80000.0,80100.0,75868.6875,13382882
2021-07-02,80000.0,80400.0,79900.0,80000.0,75773.96875,8753097
2021-07-05,80100.0,80800.0,80000.0,80400.0,76152.828125,8330969
2021-07-06,80600.0,81200.0,80500.0,81200.0,76910.5625,12131651
2021-07-07,81200.0,81300.0,80300.0,80800.0,76531.7109375,15992202
2021-07-08,81100.0,81200.0,79900.0,79900.0,75679.2421875,16660998
2021-07-09,79600.0,79800.0,79000.0,79400.0,75205.65625,22720577
2021-07-12,79900.0,80000.0,79500.0,79700.0,75489.8046875,9768108
2021-07-13,80000.0,80200.0,79800.0,79800.0,75584.5390625,9863450
2021-07-14,79400.0,79600.0,79100.0,79500.0,75300.3828125,11575636
2021-07-15,79800.0,80600.0,79500.0,80600.0,76342.2734375,13766279
2021-07-16,80100.0,80100.0,79500.0,79800.0,75584.5390625,10859399
2021-07-19,79100.0,79200.0,78800.0,79000.0,74826.796875,13155414
2021-07-20,78500.0,79000.0,78400.0,79000.0,74826.796875,12456646
2021-07-21,79000.0,79100.0,78500.0,78500.0,74353.203125,12355296
2021-07-22,79000.0,79800.0,78900.0,79700.0,75489.8046875,12618790
2021-07-23,79700.0,79900.0,79200.0,79300.0,75110.9296875,9098910
2021-07-26,79400.0,79500.0,78800.0,78800.0,74637.3515625,10040975
2021-07-27,79200.0,79400.0,78500.0,78500.0,74353.203125,11427693
2021-07-28,78300.0,79200.0,78100.0,79200.0,75016.21875,12743417
2021-07-29,78800.0,79400.0,78800.0,79000.0,74826.796875,14360453
2021-07-30,78900.0,78900.0,78500.0,78500.0,74353.203125,13823411
2021-08-02,79200.0,79500.0,78700.0,79300.0,75110.9296875,11739124
2021-08-03,79400.0,81400.0,79300.0,81400.0,77100.0,24339360
2021-08-04,82200.0,83100.0,81800.0,82900.0,78520.765625,25642368
2021-08-05,83300.0,83300.0,82000.0,82100.0,77763.03125,18485469
2021-08-06,81900.0,82500.0,81300.0,81500.0,77194.7265625,13342623
2021-08-09,81500.0,82300.0,80900.0,81500.0,77194.7265625,15522581
2021-08-10,82300.0,82400.0,80100.0,80200.0,75963.3984375,20362639
2021-08-11,79600.0,79800.0,78500.0,78500.0,74353.203125,30241137
2021-08-12,77100.0,78200.0,76900.0,77000.0,72932.4296875,42365223
2021-08-13,75800.0,76000.0,74100.0,74400.0,70469.78125,61270643
2021-08-17,74000.0,75100.0,74000.0,74200.0,70280.359375,30944847
2021-08-18,73900.0,74600.0,73100.0,73900.0,69996.203125,29192631
2021-08-19,73500.0,74400.0,73100.0,73100.0,69238.453125,22166298
2021-08-20,73500.0,73900.0,72500.0,72700.0,68859.59375,22364803
2021-08-23,73300.0,74000.0,73000.0,73300.0,69427.890625,19384648
2021-08-24,73900.0,75700.0,73900.0,75600.0,71606.390625,21016913
2021-08-25,76200.0,76600.0,74900.0,75700.0,71701.1171875,22319664
2021-08-26,76100.0,76200.0,74600.0,74600.0,70659.21875,16671494
2021-08-27,74300.0,75000.0,73800.0,74300.0,70375.078125,15172748
2021-08-30,75400.0,75500.0,74200.0,74600.0,70659.21875,12686999
2021-08-31,74900.0,76700.0,74300.0,76700.0,72648.296875,24630370
2021-09-01,76700.0,77100.0,75900.0,76800.0,72743.0078125,16114775
2021-09-02,76800.0,76800.0,75700.0,76000.0,71985.2734375,15347486
2021-09-03,76400.0,76700.0,76000.0,76600.0,72553.5703125,12096419
2021-09-06,76800.0,77600.0,76600.0,77300.0,73216.59375,12861180
2021-09-07,77100.0,77100.0,75900.0,76100.0,72079.9921875,13239401
2021-09-08,76000.0,76400.0,75600.0,76300.0,72269.421875,11798147
2021-09-09,76400.0,76600.0,75000.0,75300.0,71322.25,17600770
2021-09-10,75300.0,75600.0,74800.0,75300.0,71322.25,10103212
2021-09-13,75200.0,76300.0,75100.0,76300.0,72269.421875,11397775
2021-09-14,77100.0,77700.0,76600.0,76600.0,72553.5703125,18167057
2021-09-15,77400.0,77400.0,76400.0,77000.0,72932.4296875,12829128
2021-09-16,77300.0,77400.0,76100.0,76100.0,72079.9921875,13067622
2021-09-17,76300.0,77200.0,75900.0,77200.0,73121.8671875,16289502
2021-09-23,77500.0,77600.0,76800.0,77400.0,73311.3046875,17055590
2021-09-24,77600.0,77700.0,77100.0,77300.0,73216.59375,12247274
2021-09-27,77300.0,77700.0,77000.0,77700.0,73595.46875,11699798
2021-09-28,77700.0,77800.0,76200.0,76300.0,72269.421875,15406382
2021-09-29,74800.0,75300.0,73800.0,74100.0,70519.28125,23992458
2021-09-30,74300.0,74800.0,73700.0,74100.0,70519.28125,19919361
2021-10-01,73900.0,74000.0,72900.0,73200.0,69662.7734375,15803395
2021-10-05,73000.0,73000.0,71400.0,72200.0,68711.0859375,24013921
2021-10-06,72600.0,72800.0,71200.0,71300.0,67854.5859375,18956962
2021-10-07,71600.0,72100.0,71300.0,71600.0,68140.078125,13683532
2021-10-08,72300.0,72400.0,71500.0,71500.0,68044.921875,14043287
2021-10-12,70700.0,70900.0,68700.0,69000.0,65665.734375,31001484
2021-10-13,68700.0,69600.0,68300.0,68800.0,65475.40625,24172015
2021-10-14,69000.0,69800.0,68800.0,69400.0,66046.40625,19520641
2021-10-15,70200.0,71000.0,70000.0,70100.0,66712.578125,18051612
2021-10-18,70200.0,70300.0,69200.0,70200.0,66807.7421875,13486391
2021-10-19,70800.0,71000.0,70400.0,70600.0,67188.4140625,9507991
2021-10-20,70700.0,71000.0,70200.0,70300.0,66902.90625,10151638
2021-10-21,70300.0,70600.0,70000.0,70200.0,66807.7421875,10891094
2021-10-22,70000.0,70700.0,70000.0,70400.0,66998.0859375,8395448
